,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
258743,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,287.1264179,324.565,1,1659.56,4,6,0,326.555,ACTIVE,243.095,348.05,11.45,33.085,77.025,24.33,53.18847656,0,0,0,7
258744,Residential,EXPATS,India,M,0,2012,2019,176.0897161,231.6666667,1,629.715,0,1,1,213.5616667,ACTIVE,132.545,231.83,6.09,74.81,28.655,20.03,97.22167969,0,0,0,7
258745,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,832.7343607,916.6666667,1,2696.448333,1,3,2,811.92,ACTIVE,1587.51,34.905,45.275,11.89,0,0,18958.95996,0,0,0,7
258746,Residential,EXPATS,Brazil,M,0,2012,2019,393.3427809,505.6566667,1,1722.561667,0,2,0,555.1733333,Out Going Bar Confirmed,209.88,15.835,30.73,2.54,78.3,0,4448.068848,0,0,0,7
258747,Residential,EXPATS,Iran,F,0,2012,2019,31.34297522,31.25333333,1,29.13333333,0,1,0,29.13333333,ACTIVE,28.125,102.61,4.425,46.09,0,10.7,0,0,82.5,0,7
258748,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,227.0067593,196.035,1,2553.455,1,5,1,155.88,ACTIVE,30,37.89,0,0.025,0,0.01,1027.646484,0,0,0,7
258749,Residential,EXPATS,Eritrea,M,0,2012,2019,283.7844669,316.0983333,1,854.355,0,2,1,271.065,ACTIVE,98.325,131.44,6.99,73.41,12.075,49.49,875.3066406,0,0,0,7
258750,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,189.1012903,304.6366667,1,773.3416667,2,2,0,282.965,ACTIVE,194.455,177.835,0,9.485,0,0.2,0.336914063,0,0,0,7
258751,Residential,EXPATS,India,M,0,2012,2019,49.87342588,51.45,1,54707.44167,0,48,39,49.54666667,ACTIVE,60.475,76.325,14.775,15.165,0,0.285,0,0,0,0,7
258752,Residential,EXPATS,Oman,M,0,2012,2019,1863.673273,1520,2,3936.095,10,5,0,1569.82,ACTIVE,1537.11,876.5,32.11,284.525,441.265,183.5,35405.73535,0,0,0,7
258753,Prestige,EXPATS,Jordan,M,0,2012,2019,1718.974892,1820.595,1,6680.406667,11,10,3,1730.035,ACTIVE,2357.56,49.355,32.71,56.005,66.35,2.16,3678.110352,0,0,1,7
258754,Residential,EXPATS,Pakistan,M,0,2012,2019,29.22055373,30.5,1,1565.928333,3,3,1,29,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258755,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,324.9368378,339.3933333,1,1007.68,3,3,1,311.9566667,ACTIVE,258.945,65.44,7.34,32.26,229.605,10.55,6596.196777,0,0,0,7
258756,Residential,EXPATS,Hungary,F,0,2012,2019,283.9061707,286.3666667,1,307.4583333,0,1,0,307.4583333,ACTIVE,73.525,1.615,1.66,5.09,1.385,0.055,4662.451172,0,0,0,7
258757,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,599.9832898,552.5,1,1920.465,3,2,0,530.6183333,ACTIVE,85.76,20.235,1.31,0.015,10.37,0,11615.53711,0,0,0,7
258758,Residential,EXPATS,Iran,M,0,2012,2019,101.6763117,128.625,1,169.87,0,1,0,169.87,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258759,Residential,EXPATS,Iran,M,0,2012,2019,307.2705277,328.9616667,1,1030.29,0,1,1,314.965,ACTIVE,62.59,8.885,49.425,26.03,71.115,8.89,3268.461914,0,0,0,7
258760,Prestige,EXPATS,India,M,0,2012,2019,1987.396351,1760.008333,1,2368.621667,1,1,1,1538.413333,ACTIVE,241.075,186.19,5.86,100.345,196.185,73.875,606.3676758,0,0,0,7
258761,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,846.6241007,912.335,1,5464.755,1,7,0,902.34,ACTIVE,208.48,18.19,15.04,3.23,0,0,36107.94727,0,0,0,7
258762,Prestige,EXPATS,Germany,M,0,2012,2019,1395.624285,1471.275,1,1300.63,0,1,0,1300.63,ACTIVE,55.805,60.81,1.845,72.58,151.44,55.1,3714.012695,0,0,0,7
258763,Residential,EXPATS,Iran,M,0,2012,2019,26.1514039,32.08333333,2,583.6766667,6,3,0,25,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258764,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,28.31485318,15.16666667,1,2171.02,2,4,0,29,ACTIVE,0.75,0,0,0,0,0,0,0,0,0,7
258765,Residential,EXPATS,Pakistan,M,0,2012,2019,101.5659327,95.83333333,1,933.1083333,0,3,1,99,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258766,Residential,EXPATS,Jordan,M,0,2012,2019,630.7700523,596.6583333,1,4459.995,2,7,1,594.2716667,ACTIVE,931.44,21.315,16.025,3.76,6.495,0.35,7756.15625,0,0,0,7
258767,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,746.1345105,949.025,2,5452.778333,4,7,0,984.0016667,ACTIVE,0,1.165,0,0.495,0,0,0,0,0,0,7
258768,Residential,EXPATS,Kazakstan,F,0,2012,2019,779.022841,664.9166667,2,401.8483333,0,1,0,401.8483333,ACTIVE,8.425,7.57,10.65,2.55,0,0,375.3476563,0,0,0,7
258769,Residential,EXPATS,Oman,M,0,2012,2019,128.0636099,127.2983333,1,355.2333333,2,1,0,117.745,ACTIVE,201.425,122.195,11.495,16.25,3.71,0,0,0,38.5,0,7
258770,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,613.5350762,684.4116667,2,2163.018333,5,4,0,595.9833333,ACTIVE,1021.505,959.725,14.95,6.16,0,0,23356.15918,0,0,0,7
258771,Residential,EMIRATI,United Arab Emirates,M,1,2012,2018,519.4576814,568.2183333,1,832.115,3,2,0,447.3116667,ACTIVE,149.8,58.32,3.65,3.5,0,0,839.3847656,0,0,0,6
258772,Residential,EXPATS,Saudi Arabia,M,0,2012,2019,429.0667889,484,1,462.1083333,0,1,0,462.1083333,ACTIVE,100.535,26.915,12.475,93.465,191.125,81.625,854.4561367,0,0,0,7
258773,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,75.19941976,50.95,1,1136.323333,2,4,5,66.735,Out Going Bar Confirmed,0,0,0,0,0,0,0.029296875,0,0,0,7
258774,Prestige,EMIRATI,United Arab Emirates,F,0,2012,2019,890.3186895,919.58,1,843.2933333,0,1,0,843.2933333,ACTIVE,489.955,1582.435,22.625,14.555,0,0.015,8048.393555,0,0,0,7
258775,Residential,EXPATS,United Arab Emirates,U,1,2012,2018,291.9628028,258.125,1,545537.0617,60,1282,148,295,ACTIVE,0,0,0,0,0,0,0,0,0,0,6
258776,Residential,EXPATS,United Arab Emirates,U,0,2012,2019,0,0,0,545537.0617,60,1282,148,0,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258777,Residential,EXPATS,Lebanon,M,0,2012,2019,264.0881075,262.56,1,1062.008333,0,3,1,245.7233333,ACTIVE,479.275,39.395,15.15,63.155,0,3.705,820.3125,0,4,0,7
258778,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1054.629072,1098.56,1,1173.486667,0,2,0,923.4866667,ACTIVE,559.205,24.3,37.905,27.7,132.075,22.765,19848.41309,0,0,0,7
258779,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,878.8773072,920.115,2,1201.966667,1,2,0,883.3883333,ACTIVE,1627.475,38.23,70.585,31.41,43.79,4.545,12624.56104,0,0,0,7
258780,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,364.4385798,266.205,2,339.8283333,1,1,0,295.4216667,ACTIVE,1262.16,25.565,16.295,2.825,0,0,4232.771484,0,0,0,7
258781,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,105.5932304,118.375,1,1438.745,0,4,0,113.1666667,Out Going Bar Confirmed,0,0,0,0,0,0,0,0,0,0,7
258782,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1273.239854,2361.591667,2,6184.831667,1,3,2,1874.446667,ACTIVE,170.48,16.39,6.085,18.315,0,1.565,23065.49854,0,0,0,7
258783,Residential,EXPATS,Egypt,M,0,2012,2019,352.5435238,349.16,1,1498.336667,4,3,1,304.72,ACTIVE,166.32,3.71,4.56,2.455,2.885,0.025,1521.049805,0,0,0,7
258784,Prestige,EXPATS,Egypt,M,0,2012,2019,408.0974562,506.5,2,240.7416667,1,1,0,240.7416667,Out Going Bar Confirmed,336.41,150.685,6.005,100.34,0.06,51.87,97.67578125,0,0,0,7
258785,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,709.0849968,749.6366667,1,2173.366667,2,4,5,681.8016667,ACTIVE,2205.165,80.72,4.785,8.975,47.71,0.01,24294.93799,0,0,0,7
258786,Residential,EXPATS,Jordan,M,0,2012,2019,584.9279339,627.07,3,1119.018333,0,1,1,587.0183333,ACTIVE,214.885,28.835,37.06,32.86,207.26,0.05,6230.773926,0,0,0,7
258787,Residential,EXPATS,India,M,0,2012,2019,329.0955244,342.2466667,1,381.7533333,2,1,0,327.9483333,ACTIVE,1191.85,1263.165,55.345,349.265,6.15,145.335,3916.057617,0,0,0,7
258788,Residential,EXPATS,India,M,0,2012,2019,229.5368724,346.6366667,2,1083.6,8,2,1,351.5066667,ACTIVE,74.135,75.7,2.855,103.3,309.915,25.315,831.6572266,0,0,0,7
258789,Residential,EMIRATI,United Arab Emirates,F,0,2012,2019,332.8947083,442.425,1,443.67,0,1,0,443.67,ACTIVE,868.8,22.44,42.59,4.835,0.075,0,7383.481445,0,0,0,7
258790,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,511.73835,565.6316667,2,391.59,1,1,0,390.1433333,ACTIVE,118.44,103.17,12.61,24.84,6.94,0,9702.729492,0,0,0,7
258791,Residential,EXPATS,India,M,0,2012,2019,326.3012582,360.4516667,1,346.4683333,1,1,0,346.4683333,ACTIVE,289.06,197.905,9.94,58.525,0,33.595,5656.178711,0,0,0,7
258792,Residential,EXPATS,India,M,0,2012,2019,347.2177382,364.1666667,1,2234.946667,0,3,2,344.48,ACTIVE,442.015,318.625,8.75,74.215,40.055,47.11,5070.258301,0,0,0,7
258793,Residential,EMIRATI,United Arab Emirates,M,1,2012,2018,100.5350904,103.95,1,900.1366667,3,4,1,99,ACTIVE,0,0,0,0,0,0,0,0,0,0,6
258794,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1495.810923,1463.913333,1,4217.411667,4,4,1,1312.413333,ACTIVE,632.21,16.055,37.775,2.075,48.815,0,38558.55762,0,0,0,7
258795,Residential,YOUTH,United Arab Emirates,F,0,2012,2019,127.0869291,200,1,147.0216667,0,1,0,147.0216667,ACTIVE,44.245,14.055,4.5,1.53,0,0,0.336914063,0,0,0,7
258796,Residential,EXPATS,India,M,0,2012,2019,30.14342397,30.88,1,403.5166667,0,1,1,29.51666667,ACTIVE,2.375,25.835,0,24.755,0,0.46,0,0,0,0,7
258797,Residential,EXPATS,Lebanon,M,0,2012,2019,118.0274725,116.4566667,2,234.0516667,1,2,0,122.1633333,ACTIVE,17.42,300.105,0.585,137.27,8.815,9.655,94.34570313,0,0,1,7
258798,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,517.0130102,613.8333333,1,3764.81,4,4,2,665.7816667,ACTIVE,1379.3,14.27,25.665,3.63,0,0,11585.43604,0,0,0,7
258799,Residential,EXPATS,Egypt,M,0,2012,2019,331.5353359,348.0333333,2,340.2383333,0,1,0,340.2383333,TOSSED,22.76,4.515,0,3.675,71.27,0,122.578125,0,0,0,7
258800,Residential,EXPATS,Lebanon,F,0,2012,2019,417.5682866,450.4016667,1,1136.205,1,1,1,449.0133333,ACTIVE,80.19,88.61,13.645,16.915,4.325,5.99,3006.291992,0,0,0,7
258801,Residential,EXPATS,India,F,0,2012,2019,153.1554664,161.9416667,1,154.4983333,1,1,0,154.1516667,ACTIVE,74.045,65.585,15.165,23.485,142.16,2.71,2735.490723,0,0,0,7
258802,Residential,EXPATS,Syrian Arab Republic,M,0,2012,2019,362.2333268,312.49,2,603.0216667,2,2,0,286.3366667,ACTIVE,685.785,55.07,16.665,144.63,91.96,61.14,2851.495117,0,0,0,7
258803,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,278.0161183,259.2883333,1,666.1666667,2,2,0,261.135,ACTIVE,120.095,24.11,20.05,0.075,0,0,15294.31592,0,0,0,7
258804,Residential,EXPATS,Palestinian Territory,M,0,2012,2019,50.59161388,43.75,1,4077.185,2,5,2,50,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258805,Residential,EXPATS,Palestinian Territory,M,0,2012,2019,170.3973582,185.3766667,1,1291.401667,1,3,1,174.37,ACTIVE,0,1.42,0.975,3.865,0,0,462.0263672,0,0,0,7
258806,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1041.855002,1199.166667,3,1739.623333,3,1,0,1075.468333,ACTIVE,190.675,156.16,23.675,22.915,0,0,19867.94678,0,0,0,7
258807,Prestige,EXPATS,Lebanon,M,0,2012,2019,1815.863566,1348.216667,1,1684.49,1,1,1,1152.555,ACTIVE,1094.825,1180.755,32.655,230.46,399.375,72.34,9168.019043,0,0,0,7
258808,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,259.2961352,277.08,1,1307.055,0,2,1,259.1933333,ACTIVE,30.74,5.455,34.115,22.76,34.98,16.595,5919.057617,0,0,0,7
258809,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,531.4018461,612.8483333,3,1591.301667,2,1,2,631.3933333,ACTIVE,468.865,87.265,21.505,22.885,0,0,11165.34131,0,0,0,7
258810,Prestige,EXPATS,Morocco,F,0,2012,2019,811.8977474,797,2,1004.488333,1,2,0,848.66,ACTIVE,642.165,40.995,47.75,11.875,117.685,6.975,16798.05859,0,0,0,7
258811,Prestige,EXPATS,Syrian Arab Republic,M,0,2012,2019,461.4378146,456.8333333,1,1257.675,5,2,5,419.5,ACTIVE,440.54,576.31,58.525,196.96,62.82,106.9,10549.90625,0,0,0,7
